GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
supplier-order,com.tricol.supplier_order.controller,StockMovementController,0,21,0,0,0,5,0,2,0,2
supplier-order,com.tricol.supplier_order.controller,SupplierController,0,42,0,0,0,10,0,6,0,6
supplier-order,com.tricol.supplier_order.controller,ProductController,0,42,0,0,0,10,0,6,0,6
supplier-order,com.tricol.supplier_order.controller,OrderController,0,42,0,0,0,10,0,6,0,6
supplier-order,com.tricol.supplier_order.exception,GlobalExceptionHandler,65,21,0,0,11,3,4,2,4,2
supplier-order,com.tricol.supplier_order.exception,ErrorDetails,0,21,0,0,0,8,0,4,0,4
supplier-order,com.tricol.supplier_order.service.imple,ProductServiceImpl,54,137,9,1,8,21,7,8,0,8
supplier-order,com.tricol.supplier_order.service.imple,SupplierServiceImpl,74,142,11,1,15,22,9,8,0,8
supplier-order,com.tricol.supplier_order.service.imple,StockMovementServiceImpl,64,68,9,1,8,15,7,4,0,4
supplier-order,com.tricol.supplier_order.service.imple,OrderServiceImpl,44,299,6,4,4,66,7,17,3,16
supplier-order,com.tricol.supplier_order,SupplierOrderApplication,5,3,0,0,2,1,1,1,1,1
supplier-order,com.tricol.supplier_order,ServletInitializer,12,0,0,0,2,0,2,0,2,0
supplier-order,com.tricol.supplier_order.util,SortBuilder,23,4,5,1,5,2,4,1,1,1
supplier-order,com.tricol.supplier_order.util,PageableBuilder,17,17,6,2,1,4,5,1,1,1
supplier-order,com.tricol.supplier_order.util,PageableUtil,8,34,4,2,1,7,4,1,1,1
supplier-order,com.tricol.supplier_order.mapper,SupplierMapperImpl,400,162,43,9,103,41,35,7,10,6
supplier-order,com.tricol.supplier_order.mapper,SupplierOrderMapperImpl,104,360,25,23,32,88,22,17,2,13
supplier-order,com.tricol.supplier_order.mapper,ProductMapperImpl,35,102,7,5,10,27,6,5,1,4
supplier-order,com.tricol.supplier_order.mapper,StockMovementMapperImpl,12,164,9,13,6,41,9,9,0,7
supplier-order,com.tricol.supplier_order.enums,MovementType,0,21,0,0,0,4,0,1,0,1
